LoanID,Forecast_OverdueAmount,Forecast_NPA_Percent,PredictedRiskScore,PriorityRecoveryFlag
L00114,4573.0,0.39,58.03,No
L00115,2935.0,1.22,89.81,No
L00116,4303.0,0.97,99.74,No
L00117,751.0,0.11,70.42,No
L00118,1445.0,0.1,85.31,No
L00119,2320.0,0.73,85.97,No
L00120,2606.0,0.19,88.1,No
L00121,935.0,0.09,78.76,No
L00122,598.0,0.06,82.92,No
L00123,3825.0,0.35,86.63,No
L00124,945.0,0.99,68.03,No
L00125,4444.0,2.3,84.16,No
L00126,927.0,0.17,76.92,No
L00127,17092.35,10.87,77.76,No
L00128,711.0,0.05,68.21,No
L00129,428934.8,48.11,82.88,Yes
L00130,1073.0,0.14,67.5,No
L00131,112591.35,9.47,88.62,Yes
L00132,1392.0,0.09,63.7,No
L00133,1675.0,0.12,87.09,No
L00134,3330.0,0.28,93.88,No
L00135,100355.91,16.81,97.65,Yes
L00136,3879.0,2.66,82.07,No
L00137,1499.0,0.78,,No
L00138,2734.0,5.29,83.43,No
L00139,6394.44,12.12,71.02,No
L00140,3437.0,0.24,64.62,No
L00141,3537.0,0.25,97.37,No
L00142,1340.0,0.13,66.45,No
L00143,3470.0,0.31,78.75,No
L00144,3909.0,0.49,94.75,No
L00145,1272.0,0.32,65.76,No
L00146,4058.0,0.29,92.97,No
L00147,2411.0,0.53,72.93,No
L00148,4412.0,0.39,75.46,No
L00149,4519.0,1.11,64.13,No
L00150,584.0,0.04,87.13,No
L00151,746992.2100000001,75.13,76.32,No
L00152,661754.64,67.39,95.99,Yes
L00153,4895.0,2.56,84.23,No
L00154,1744.0,0.26,88.6,No
L00155,156241.0,19.26,66.76,No
L00156,3304.0,0.69,88.8,No
L00157,688873.5999999997,51.9,84.74,Yes
L00158,4670.0,0.37,77.75,No
L00159,1764.0,0.23,93.52,No
L00160,2899.0,0.53,96.16,No
L00161,3786.0,0.31,61.7,No
L00162,2134.0,0.64,90.77,No
L00163,887.0,0.58,97.86,No
L00164,1646.0,1.42,69.29,No
L00165,6442.08,6.07,73.16,No
L00166,1887.0,0.25,90.0,No
L00167,2836.0,0.67,94.19,No
L00168,3363.0,0.32,94.62,No
L00169,4577.0,0.46,59.17,No
L00170,827.0,0.1,90.99,No
L00171,3140.0,0.56,80.87,No
L00172,2514.0,0.2,74.42,No
L00173,683181.3999999998,63.31,89.98,Yes
L00174,4630.0,1.04,88.22,No
L00175,295875.4,38.06,,No
L00176,1182.0,0.43,80.02,No
L00177,2581.0,0.49,77.43,No
L00178,847043.79,56.63,69.42,No
L00179,3529.0,0.94,90.54,No
L00180,3023.0,0.28,97.79,No
L00181,3502.0,0.88,73.77,No
L00182,4417.0,0.31,93.19,No
L00183,2684.0,0.54,78.07,No
L00184,2992.0,0.54,62.14,No
L00185,2950.0,0.32,65.58,No
L00186,2337.0,0.26,82.7,No
L00187,3852.0,0.43,82.16,No
L00188,3055.0,0.35,60.24,No
L00189,3666.0,0.73,,No
L00190,2284.0,0.34,84.22,No
L00191,1487.0,0.16,95.9,No
L00192,229492.12000000002,22.43,61.08,No
L00193,2676.0,0.64,86.5,No
L00194,3730.0,0.35,69.46,No
L00195,3637.0,0.26,65.05,No
L00196,3221.0,0.28,61.73,No
L00197,2690.0,1.56,59.26,No
L00198,2353.0,0.32,68.28,No
L00199,4193.0,0.62,63.84,No
L00200,61086.85999999999,11.36,63.02,No
L00201,2321.0,0.3,86.97,No
L00202,423004.3,61.53,77.64,No
L00203,3216.0,5.46,72.45,No
L00204,1111.0,0.28,,No
L00205,252640.0900000001,70.18,75.02,No
L00206,1516.0,0.27,77.35,No
L00207,1513.0,0.5,95.92,No
L00208,3374.0,2.27,78.91,No
L00209,2768.0,0.83,58.76,No
L00210,931229.72,72.27,70.1,No
L00211,4377.0,0.36,75.83,No
L00212,4708.0,0.68,76.78,No
L00213,3356.0,0.25,83.3,No
L00214,126419.98000000004,32.64,82.03,Yes
L00215,558.0,0.06,81.86,No
L00216,3440.0,1.34,96.68,No
L00217,2477.0,0.2,68.65,No
L00218,145800.48,60.92,67.03999999999999,No
L00219,2242.0,2.33,92.69,No
L00220,1118.0,0.25,75.02,No
L00221,1535.0,0.11,85.58,No
L00222,89488.16,37.65,89.66,Yes
L00223,3852.0,0.73,97.89,No
L00224,875.0,0.17,81.53,No
L00225,504.0,0.04,88.68,No
L00226,1215.0,0.18,80.25,No
L00227,1470.0,0.16,63.3,No
L00228,3975.0,0.62,99.28,No
L00229,4485.0,0.53,91.89,No
L00230,133458.2,94.96,91.38,Yes
L00231,4436.0,0.75,,No
L00232,2172.0,0.17,97.76,No
L00233,293991.16,27.94,82.1,Yes
L00234,4994.0,0.34,88.11,No
L00235,73538.74,6.17,65.92,No
L00236,1037.0,0.15,65.54,No
L00237,3642.0,0.35,79.54,No
L00238,3230.0,0.27,82.67,No
L00239,3608.0,0.82,91.42,No
L00240,1089.0,0.79,70.39,No
L00241,3814.0,0.6,88.2,No
L00242,49712.0,19.14,97.71,Yes
L00243,1890.0,0.42,93.92,No
L00244,967183.3199999998,67.97,88.27,Yes
L00245,698917.1600000001,54.68,90.59,Yes
L00246,3886.0,0.43,97.22,No
L00247,2201.0,0.35,85.65,No
L00248,2565.0,0.59,,No
L00249,570958.74,64.98,79.42,No
L00250,395925.75,48.1,84.38,Yes
L00251,4083.0,0.35,60.05,No
L00252,4074.0,0.29,97.46,No
L00253,1829.0,0.35,67.47,No
L00254,4326.0,1.24,,No
L00255,2086.0,0.33,74.38,No
L00256,3298.0,0.48,61.519999999999996,No
L00257,2202.0,2.04,96.95,No
L00258,2745.0,0.21,96.83,No
L00259,2451.0,0.16,,No
L00260,3709.0,0.27,,No
L00261,807507.47,62.21,66.15,No
L00262,4049.0,0.27,66.13,No
L00263,3334.0,0.24,94.11,No
L00264,552545.4400000001,52.72,68.15,No
L00265,140637.89999999997,48.2,96.81,Yes
L00266,201467.25999999995,72.81,95.57,Yes
L00267,1388.0,1.15,71.24,No
L00268,2507.0,0.39,90.04,No
L00269,634685.0599999999,51.9,74.25,No
L00270,143368.78,18.84,69.38,No
L00271,1990.0,0.34,86.01,No
L00272,1665.0,0.8,93.66,No
L00273,3249.0,2.6,96.14,No
L00274,120444.82,19.15,65.28999999999999,No
L00275,21799.300000000003,11.19,78.33,No
L00276,3370.0,1.68,85.57,No
L00277,91225.52,14.64,70.18,No
L00278,2790.0,0.36,73.39,No
L00279,2294.0,0.72,90.11,No
L00280,554337.21,53.16,92.52,Yes
L00281,3479.0,0.53,87.43,No
L00282,90026.2,49.12,92.04,Yes
L00283,2341.0,0.24,81.29,No
L00284,246473.04000000007,43.43,,No
L00285,4400.0,3.5,64.44,No
L00286,722.0,0.05,97.51,No
L00287,2237.0,0.25,96.85,No
L00288,156420.04,21.06,95.81,Yes
L00289,4775.0,0.37,83.92,No
L00290,3460.0,0.25,83.22,No
L00291,3203.0,0.87,65.86,No
L00292,3383.0,0.28,61.1,No
L00293,1016308.1,80.98,70.98,No
L00294,2433.0,1.89,67.89,No
L00295,2767.0,0.26,81.87,No
L00296,4501.0,3.19,76.97,No
L00297,918.0,0.1,72.13,No
L00298,3730.0,0.37,,No
L00299,392818.7599999999,67.47,84.4,Yes
L00300,758161.4600000001,57.13,88.59,Yes
L00301,702530.0,58.02,76.04,No
L00302,939.0,0.07,63.120000000000005,No
L00303,3189.0,0.63,87.45,No
L00304,20486.920000000002,25.23,69.03,No
L00305,3906.0,0.32,92.86,No
L00306,1313.0,0.35,78.29,No
L00307,293619.59,40.37,67.26,No
L00308,447710.20000000007,36.25,95.05,Yes
L00309,4082.0,1.12,67.53,No
L00310,2024.0,0.4,81.45,No
L00311,3534.0,0.51,85.08,No
L00312,4887.0,1.1,59.45,No
L00313,2205.0,0.31,85.78,No
L00314,2336.0,3.65,91.07,No
L00315,658.0,0.18,96.5,No
L00316,1085.0,0.09,88.65,No
L00317,480513.8000000001,73.98,82.89,Yes
L00318,2572.0,0.26,93.28,No
L00319,3249.0,0.84,72.8,No
L00320,98561.8,9.93,93.37,Yes
L00321,1367.0,0.09,95.91,No
L00322,1946.0,0.21,85.54,No
L00323,3927.0,0.41,77.44,No
L00324,1923.0,0.91,,No
L00325,2227.0,0.35,92.33,No
L00326,2597.0,0.2,88.83,No
L00327,895.0,0.07,90.76,No
L00328,3653.0,0.45,70.44,No
L00329,1064.0,0.08,71.4,No
L00330,4510.0,1.75,67.98,No
L00331,3227.0,0.32,79.16,No
L00332,3367.0,0.82,77.85,No
L00333,939.0,0.1,96.31,No
L00334,42690.799999999996,24.16,64.39,No
L00335,4576.0,0.32,80.61,No
L00336,4116.0,0.35,72.73,No
L00337,3124.0,0.92,97.57,No
L00338,621525.9799999999,63.81,92.75,Yes
L00339,2105.0,0.18,74.9,No
L00340,936.0,0.26,81.98,No
L00341,3233.0,1.74,88.08,No
L00342,3726.0,0.67,59.77,No
L00343,2988.0,1.21,85.28,No
L00344,3614.0,0.42,65.44,No
L00345,2267.0,0.34,65.37,No
L00346,1597.0,0.22,,No
L00347,3940.0,0.47,97.2,No
L00348,804275.2000000001,54.57,99.13,Yes
L00349,4001.0,0.33,97.19,No
L00350,1032.0,0.11,65.34,No
L00351,2733.0,0.47,90.26,No
L00352,3234.0,3.62,88.27,No
L00353,2632.0,1.2,82.45,No
L00354,3312.0,0.3,75.69,No
L00355,1613.0,0.28,89.47,No
L00356,4753.0,0.89,63.17,No
L00357,1592.0,0.12,85.37,No
L00358,170964.35,22.72,83.2,Yes
L00359,549046.9400000001,40.54,83.59,Yes
L00360,1908.0,0.14,,No
L00361,1770.0,1.06,69.86,No
L00362,1171.0,0.08,79.65,No
L00363,2486.0,1.54,87.59,No
L00364,897253.1,62.0,85.95,Yes
L00365,4358.0,0.62,78.94,No
L00366,4629.0,0.4,67.61,No
L00367,143544.54,13.37,73.48,No
L00368,1631.0,0.2,90.91,No
L00369,1043.0,0.11,59.22,No
L00370,4695.0,0.33,87.46,No
L00371,2211.0,0.16,70.68,No
L00372,930.0,0.09,90.25,No
L00373,4140.0,0.41,71.29,No
L00374,4467.0,1.09,74.68,No
L00375,588.0,0.05,92.4,No
L00376,3019.0,0.31,87.45,No
L00377,794526.01,63.66,71.18,No
L00378,41191.88,4.1,71.67,No
L00379,563.0,0.12,78.6,No
L00380,1211.0,0.37,83.91,No
L00381,59094.79999999999,36.57,85.95,Yes
L00382,4176.0,0.46,61.92,No
L00383,2923.0,0.63,66.5,No
L00384,221208.5,22.94,70.15,No
L00385,649.0,0.48,71.44,No
L00386,1243.0,0.21,65.18,No
L00387,1571.0,0.37,94.9,No
L00388,94238.05,16.05,69.33,No
L00389,843.0,0.65,59.87,No
L00390,393328.25000000006,35.76,81.4,Yes
L00391,4092.0,1.87,95.71,No
L00392,49877.94000000001,70.37,100.61,Yes
L00393,4352.0,0.31,84.38,No
L00394,2076.0,0.63,68.96,No
L00395,768500.68,61.45,59.15,No
L00396,2888.0,0.2,71.07,No
L00397,3354.0,0.41,64.89,No
L00398,222807.34999999995,27.41,87.45,Yes
L00399,2825.0,0.48,98.8,No
L00400,562.0,0.08,66.27000000000001,No
L00401,39174.25,5.23,76.48,No
L00402,3856.0,1.43,98.2,No
L00403,1118.0,0.19,92.4,No
L00404,3910.0,0.32,94.92,No
L00405,2630.0,0.84,96.0,No
L00406,3831.0,0.35,76.09,No
L00407,2855.0,0.29,90.05,No
L00408,8336.380000000001,6.26,86.66,No
L00409,1467.0,1.78,82.6,No
L00410,142328.12,25.36,71.71,No
L00411,2517.0,0.24,90.45,No
L00412,4877.0,0.92,90.99,No
L00413,294046.18,28.88,79.36,No
L00414,3750.0,0.37,77.42,No
L00415,1601.0,0.13,57.42,No
L00416,812.0,0.42,92.89,No
L00417,4363.0,0.49,68.08,No
L00418,4874.0,3.47,77.36,No
L00419,605.0,0.2,75.04,No
L00420,1297.0,0.25,85.45,No
L00421,4347.0,0.4,79.21,No
L00422,4999.0,0.34,67.01,No
L00423,150514.88,27.53,92.88,Yes
L00424,1959.0,0.24,64.16,No
L00425,1436.0,0.34,60.11,No
L00426,43441.66,4.22,66.65,No
L00427,2623.0,0.45,77.75,No
L00428,2439.0,0.33,73.51,No
L00429,86541.9,9.91,93.06,Yes
L00430,4792.0,0.46,64.6,No
L00431,4230.0,3.09,87.25,No
L00432,3436.0,0.4,67.75999999999999,No
L00433,1940.0,0.29,81.47,No
L00434,2880.0,1.18,94.75,No
L00435,155552.50999999998,44.23,79.1,No
L00436,3014.0,0.23,99.57,No
L00437,1862.0,0.14,87.61,No
L00438,1563.0,1.59,92.51,No
L00439,3727.0,0.36,81.88,No
L00440,4847.0,0.57,75.76,No
L00441,4417.0,0.31,66.3,No
L00442,4042.0,0.3,61.68000000000001,No
L00443,3140.0,0.35,81.3,No
L00444,4229.0,1.68,80.93,No
L00445,408092.2399999999,56.94,102.41,Yes
L00446,613780.3499999999,55.72,92.45,Yes
L00447,2771.0,0.19,89.93,No
L00448,3631.0,0.63,75.18,No
L00449,2214.0,0.19,75.06,No
L00450,3871.0,0.37,60.98,No
L00451,4970.0,3.04,84.68,No
L00452,2334.0,0.27,65.71000000000001,No
L00453,207800.75,65.74,81.43,Yes
L00454,201775.30000000002,19.38,84.08,Yes
L00455,3655.0,0.39,66.9,No
L00456,1693.0,0.12,94.24,No
L00457,925707.68,65.83,90.32,Yes
L00458,8419.82,13.24,68.77,No
L00459,18519.440000000002,11.15,101.36,Yes
L00460,1446.0,0.12,82.14,No
L00461,1252.0,0.12,60.03,No
L00462,1721.0,0.14,72.65,No
L00463,116944.75999999998,26.77,99.19,Yes
L00464,3834.0,0.3,95.19,No
L00465,55978.0,8.1,69.9,No
L00466,3165.0,0.74,93.35,No
L00467,37949.2,58.04,84.12,Yes
L00468,2548.0,0.19,60.85,No
L00469,897.0,0.11,87.54,No
L00470,1620.0,0.11,77.1,No
L00471,3156.0,0.29,79.45,No
L00472,3198.0,1.92,76.93,No
L00473,2943.0,0.33,87.27,No
L00474,1781.0,2.38,86.85,No
L00475,729.0,0.08,85.26,No
L00476,3178.0,0.57,72.43,No
L00477,4477.0,0.46,89.57,No
L00478,4799.0,0.57,63.290000000000006,No
L00479,570.0,0.13,100.88,No
L00480,3289.0,1.15,79.47,No
L00481,2327.0,0.37,61.56,No
L00482,3140.0,0.21,85.49,No
L00483,537.0,0.08,85.5,No
L00484,582888.1000000001,51.32,62.51,No
L00485,17350.64,13.08,63.42,No
L00486,2462.0,0.41,100.85,No
L00487,476743.03,53.48,72.21,No
L00488,2018.0,0.18,71.57,No
L00489,2738.0,0.34,80.36,No
L00490,2453.0,0.31,60.33,No
L00491,2914.0,0.25,57.5,No
L00492,232200.80000000005,46.05,67.4,No
L00493,2392.0,1.32,88.3,No
L00494,1687.0,0.3,72.68,No
L00495,91448.50000000001,32.6,77.63,No
L00496,86582.29999999999,5.97,70.72,No
L00497,335445.2,37.8,82.25,Yes
L00498,4179.0,0.6,78.84,No
L00499,654875.92,47.71,75.63,No
L00500,2267.0,0.17,78.89,No
L00501,4611.0,0.71,,No
L00502,2156.0,0.16,93.84,No
L00503,35770.36,25.04,73.46,No
L00504,2811.0,0.21,84.75,No
L00505,2974.0,0.59,91.31,No
L00506,2912.0,0.33,68.55,No
L00507,4409.0,1.0,99.2,No
L00508,729.0,0.05,88.27,No
L00509,592.0,0.38,,No
L00510,377920.2,54.14,71.63,No
L00511,4778.0,0.5,67.01,No
L00512,2812.0,0.3,67.45,No
L00513,4569.0,0.41,80.89,No
L00514,1247.0,0.11,,No
L00515,3318.0,0.28,61.9,No
L00516,1409.0,0.36,102.47,No
L00517,4345.0,0.74,72.19,No
L00518,1516.0,0.25,92.35,No
L00519,1176.0,0.08,82.88,No
L00520,992.0,0.15,79.39,No
L00521,510.0,0.14,87.56,No
L00522,508.0,0.05,61.95,No
L00523,1632.0,0.24,90.49,No
L00524,256970.69999999998,62.28,,No
L00525,2694.0,0.25,69.93,No
L00526,41586.76,12.67,74.76,No
L00527,538.0,0.06,62.019999999999996,No
L00528,4264.0,0.63,91.38,No
L00529,346146.25000000006,67.5,95.51,Yes
L00530,364921.3799999999,25.67,76.58,No
L00531,1643.0,0.32,76.73,No
L00532,73860.4,13.33,74.67,No
L00533,557.0,0.04,77.39,No
L00534,3470.0,1.46,76.76,No
L00535,4102.0,1.98,63.68000000000001,No
L00536,3710.0,0.81,63.53,No
L00537,3055.0,0.34,89.73,No
L00538,3974.0,0.65,73.41,No
L00539,135330.16,14.51,81.14,Yes
L00540,1669.0,0.59,75.99,No
L00541,1616.0,0.38,74.88,No
L00542,302672.39,34.81,66.92,No
L00543,2526.0,0.69,77.44,No
L00544,294956.32000000007,44.48,82.06,Yes
L00545,2709.0,0.31,93.48,No
L00546,600.0,0.04,74.57,No
L00547,4386.0,2.64,65.45,No
L00548,4473.0,0.62,90.61,No
L00549,2808.0,0.45,75.65,No
L00550,727887.4900000002,58.46,94.7,Yes
L00551,837.0,0.06,99.4,No
L00552,3677.0,0.27,92.0,No
L00553,1985.0,0.33,67.84,No
L00554,2252.0,0.46,70.9,No
L00555,2729.0,0.39,88.97,No
L00556,4001.0,0.73,79.4,No
L00557,990.0,0.09,70.61,No
L00558,4883.0,1.36,68.46,No
L00559,1414.0,0.14,79.52,No
L00560,1598.0,0.11,92.91,No
L00561,75750.40000000001,16.62,81.14,Yes
L00562,2320.0,0.22,81.19,No
L00563,874.0,0.34,86.13,No
L00564,3118.0,1.38,86.65,No
L00565,2594.0,1.19,98.47,No
L00566,4430.0,1.77,63.31999999999999,No
L00567,3852.0,1.06,95.4,No
L00568,4481.0,0.52,69.82,No
L00569,1099.0,0.09,73.98,No
L00570,4813.0,2.06,83.88,No
L00571,2051.0,0.16,68.31,No
L00572,895564.7599999999,70.41,70.08,No
L00573,3026.0,0.27,101.71,No
L00574,2483.0,0.37,68.06,No
L00575,4864.0,9.31,102.61,No
L00576,983.0,0.09,88.28,No
L00577,512181.01,38.67,95.38,Yes
L00578,957.0,0.18,99.0,No
L00579,4903.0,0.45,85.29,No
L00580,4813.0,3.44,84.0,No
L00581,4341.0,0.4,97.71,No
L00582,54894.4,36.83,80.09,Yes
L00583,3218.0,0.36,65.97,No
L00584,3868.0,0.42,96.72,No
L00585,895.0,0.18,71.62,No
L00586,3945.0,2.39,63.41,No
L00587,4944.0,0.35,91.96,No
L00588,1381.0,0.17,78.4,No
L00589,4458.0,0.5,75.13,No
L00590,2190.0,0.23,85.63,No
L00591,67184.97,5.01,65.06,No
L00592,4433.0,3.23,87.23,No
L00593,406421.2,30.21,79.63,No
L00594,4147.0,1.04,83.12,No
L00595,1736.0,1.06,96.1,No
L00596,774654.0700000001,77.23,93.42,Yes
L00597,135005.44,9.21,78.73,No
L00598,1084.0,0.82,82.56,No
L00599,515.0,0.08,93.47,No
L00600,3040.0,0.37,75.04,No
L00601,2863.0,0.69,90.18,No
L00602,1095145.64,74.24,85.09,Yes
L00603,149641.24,15.28,79.49,No
L00604,1013.0,0.08,99.4,No
L00605,388043.36,59.44,63.68,No
L00606,3873.0,0.69,78.17,No
L00607,2137.0,0.25,100.28,No
L00608,724.0,0.11,95.2,No
L00609,4824.0,0.44,86.16,No
L00610,3892.0,0.89,83.08,No
L00611,4858.0,0.69,87.94,No
L00612,4793.0,0.36,72.86,No
L00613,1125.0,0.1,83.05,No
L00614,1645.0,0.56,79.91,No
L00615,2523.0,0.19,63.49,No
L00616,4426.0,0.49,92.78,No
L00617,669588.6200000001,64.7,75.81,No
L00618,264804.0,55.55,98.06,Yes
L00619,47063.16,6.82,76.21,No
L00620,2347.0,0.19,,No
L00621,4498.0,0.85,69.52,No
L00622,175688.94000000003,60.72,84.13,Yes
L00623,4755.0,0.79,83.39,No
L00624,3021.0,2.01,99.61,No
L00625,566431.09,51.92,77.74,No
L00626,161709.02,61.2,83.27,Yes
L00627,892.0,0.19,85.59,No
L00628,529370.0599999999,39.88,69.47,No
L00629,4677.0,0.56,94.35,No
L00630,1011.0,0.2,78.85,No
L00631,3294.0,0.39,87.86,No
L00632,267683.38000000006,73.04,86.02,Yes
L00633,4149.0,4.8,74.43,No
L00634,479874.9,51.86,69.15,No
L00635,1027.0,0.09,85.11,No
L00636,3093.0,0.23,74.65,No
L00637,1499.0,0.13,71.78,No
L00638,136913.6,9.82,83.22,Yes
L00639,4210.0,0.28,84.41,No
L00640,1169.0,0.1,85.46,No
L00641,1873.0,0.14,76.66,No
L00642,3404.0,0.33,,No
L00643,932.0,0.31,87.88,No
L00644,49971.149999999994,15.94,85.11,Yes
L00645,24077.92,11.47,93.23,Yes
L00646,2143.0,0.15,74.32,No
L00647,512625.12,49.99,95.46,Yes
L00648,374316.0,31.31,72.25,No
L00649,339175.07,63.97,73.3,No
L00650,712.0,0.1,79.92,No
L00651,1480.0,1.37,97.9,No
L00652,4685.0,0.35,65.88,No
L00653,628.0,0.05,91.7,No
L00654,4784.0,0.4,64.09,No
L00655,2622.0,1.95,72.26,No
L00656,2633.0,0.87,73.5,No
L00657,1920.0,0.36,82.3,No
L00658,3529.0,0.82,62.44,No
L00659,473525.92,37.41,63.019999999999996,No
L00660,2873.0,0.86,63.709999999999994,No
L00661,51183.479999999996,6.23,85.84,Yes
L00662,4097.0,0.47,67.47,No
L00663,1673.0,0.25,79.53,No
L00664,2202.0,0.55,64.11,No
L00665,569225.5,39.46,72.9,No
L00666,109221.06,16.82,90.85,Yes
L00667,578875.3199999998,52.41,74.83,No
L00668,1647.0,0.52,85.09,No
L00669,1924.0,0.15,70.69,No
L00670,225376.29999999996,62.08,91.77,Yes
L00671,2015.0,0.2,90.31,No
L00672,2840.0,0.36,75.11,No
L00673,124476.70000000001,47.42,57.93,No
L00674,2859.0,3.32,66.03,No
L00675,2858.0,0.2,82.15,No
L00676,1139.0,0.49,78.9,No
L00677,4075.0,0.38,74.48,No
L00678,576251.16,57.83,79.59,No
L00679,293059.2200000001,53.72,63.3,No
L00680,1702.0,0.53,81.81,No
L00681,4496.0,1.46,67.93,No
L00682,2906.0,0.32,101.26,No
L00683,469277.78,55.67,64.9,No
L00684,4237.0,0.32,57.62,No
L00685,3811.0,0.39,83.0,No
L00686,546.0,0.04,62.44,No
L00687,3705.0,3.82,88.63,No
L00688,433628.45999999996,42.39,91.96,Yes
L00689,3321.0,0.85,80.86,No
L00690,240757.85000000006,57.79,93.7,Yes
L00691,1265.0,0.12,89.88,No
L00692,4400.0,0.37,68.28,No
L00693,262226.4,44.52,93.52,Yes
L00694,628454.48,52.56,91.1,Yes
L00695,244592.26000000004,35.27,69.59,No
L00696,1402.0,0.11,88.22,No
L00697,48849.79999999999,56.73,95.0,Yes
L00698,675.0,0.39,87.08,No
L00699,1144.0,0.1,67.67,No
L00700,244302.08,25.58,66.69,No
L00701,181562.97999999998,21.1,101.31,Yes
L00702,254245.5000000001,27.04,81.11,Yes
L00703,1657.0,0.12,83.13,No
L00704,2715.0,0.27,96.58,No
L00705,402856.9200000001,40.74,61.29,No
L00706,1351.0,0.12,75.64,No
L00707,2346.0,0.18,81.09,No
L00708,244501.86000000002,56.89,64.08,No
L00709,4601.0,0.49,84.35,No
L00710,3515.0,0.39,91.19,No
L00711,3433.0,1.4,62.14,No
L00712,3467.0,0.43,90.36,No
L00713,96669.92,64.08,100.12,Yes
