LoanID,CustomerID,BranchID,ProductID,DisbursedDate,LoanAmount,TenureMonths,InterestRate,Status,RiskScore,LoanType,ClosureDate,EarlyClosureFlag
L00021,C00956,B030,P010,18-12-2021,866166.04,36,7.8,Closed,90.76,Used,05-11-2022,FALSE
L00022,C02325,B013,P004,21-11-2022,589720.48,48,7.54,Active,95.84,4W,,
L00023,C01185,B001,P005,22-11-2020,248275.97,48,11.43,Active,62.56,Used,,
L00024,C00460,B028,P004,14-03-2020,701879.4,6,10.98,Active,80.61,Used,,
L00025,C00022,B012,P008,07-09-2020,381987.76,18,14.55,Active,84.95,Tractor,,
L00026,C02301,B034,P008,25-03-2021,1264640.42,24,10.07,Active,60.68,Tractor,,
L00027,C00748,B001,P003,24-06-2022,1480843.38,24,12.44,Active,67.07,Tractor,,
L00028,C02905,B028,P001,20-12-2020,1339189.4,6,7.56,Active,62.44,Commercial,,
L00029,C00475,B024,P006,16-06-2021,815997.69,60,12.48,Active,71.32,2W,,
L00030,C01083,B021,P002,22-10-2020,960791.03,36,14.35,Active,68.01,Tractor,,
L00031,C02559,B030,P002,24-10-2020,1424777.69,12,10.16,Closed,78.99,2W,12-05-2022,FALSE
L00032,C02048,B030,P003,13-09-2023,831088.8,48,9.86,Active,85.56,4W,,
L00033,C02748,B003,P008,28-10-2020,975954.23,24,12.2,Active,92.85,2W,,
L00034,C00976,B048,P003,26-05-2021,962382.78,12,9.96,Closed,71.87,4W,03-01-2022,TRUE
L00035,C01807,B021,P007,23-09-2023,1076775.67,48,10.52,Active,61.97,2W,,
L00036,C00190,B031,P010,07-08-2021,978413.39,36,9.55,Closed,60.15,4W,05-02-2023,FALSE
L00037,C02735,B024,P010,08-01-2021,1022522.83,6,10.09,Active,92.94,Tractor,,
L00038,C00563,B018,P009,22-01-2023,1102546.98,60,12.6,Closed,94.25,Tractor,29-02-2024,FALSE
L00039,C01900,B029,P008,11-05-2020,1223193.88,36,14.42,Active,63.94,Tractor,,
L00040,C01268,B006,P001,28-06-2022,634429.71,18,11.87,Active,60.4,4W,,
L00041,C02880,B034,P007,22-02-2020,1131459.28,36,7.58,Closed,91.21,Commercial,31-12-2021,TRUE
L00042,C01529,B026,P007,16-08-2020,195295.45,6,9.48,Closed,84.99,2W,20-10-2020,FALSE
L00043,C00647,B016,P008,01-10-2021,1320472.79,6,14.64,Closed,81.69,4W,02-01-2022,TRUE
L00044,C02069,B010,P010,20-05-2023,470564.25,36,,Closed,80.79,Tractor,07-08-2023,FALSE
L00045,C02889,B019,P005,07-03-2022,635017.46,48,8.37,Active,90.18,2W,,
L00046,C02215,B009,P010,01-03-2022,1215235.1,6,14.31,Closed,71.44,Tractor,06-06-2022,FALSE
L00047,C01298,B021,P009,09-05-2021,973631.21,18,14.73,Active,75.18,Commercial,,
L00048,C02436,B050,P009,02-05-2022,497510.59,12,9.93,Active,63.04,Used,,
L00049,C00601,B040,P008,01-11-2021,376828.71,36,12.76,Active,82.08,Tractor,,
L00050,C02364,B033,P006,10-06-2023,1438685.95,6,11.7,Active,97.47,Used,,
L00051,C02062,B017,P006,30-12-2022,177275.72,60,10.03,Active,71.07,Commercial,,
L00052,C00242,B043,P001,07-07-2020,56285.91,48,8.65,Active,96.24,Used,,
L00053,C02042,B026,P006,24-10-2021,1025755.61,48,10.25,Active,88.44,Tractor,,
L00054,C02825,B028,P004,08-01-2020,940987.92,48,14.46,Active,69.12,Commercial,,
L00055,C02613,B047,P004,27-11-2020,1119540.25,12,13.58,Active,85.85,2W,,
L00056,C02946,B003,P002,05-11-2022,1110869.06,18,9.98,Active,74.28,Used,,
L00057,C01364,B043,P004,27-10-2021,1301725.73,36,11.61,Active,64.77,Used,,
L00058,C02140,B049,P005,30-10-2021,1387057.46,6,10.54,Active,63.62,4W,,
L00059,C01391,B010,P005,21-01-2023,1173785.65,12,11,Active,60.67,Tractor,,
L00060,C01479,B036,P005,09-07-2023,386824.56,18,13.21,Active,91.11,Tractor,,
L00061,C02557,B006,P004,09-06-2020,722069.46,24,11.57,Active,94.51,Used,,
L00062,C00776,B015,P001,16-12-2020,980487.1,6,8.86,Active,78.82,Used,,
L00063,C00035,B029,P010,12-04-2023,832079.64,48,9.52,Active,80.28,Used,,
L00064,C02254,B028,P008,12-11-2020,280401.39,48,11.76,Closed,86.97,Tractor,09-11-2021,FALSE
L00065,C01956,B018,P003,25-07-2022,904445.89,18,12.7,Active,87.34,4W,,
L00066,C01586,B003,P002,18-01-2020,1335466.54,60,11.31,Closed,72.64,Used,01-12-2022,FALSE
L00067,C01022,B046,P009,30-04-2021,656849.97,60,12.15,Active,66.21,Tractor,,
L00068,C02614,B029,P007,01-01-2021,1019952.6,12,13.42,Active,76.79,Tractor,,
L00069,C01130,B023,P009,16-12-2020,943104.72,60,11.59,Active,87.18,4W,,
L00070,C01501,B023,P002,11-06-2021,596712.55,48,14.83,Active,91.36,4W,,
L00071,C00703,B027,P009,21-05-2022,869643.25,36,9.27,Closed,63.48,4W,03-11-2023,FALSE
L00072,C02450,B037,P010,29-12-2023,354807.45,12,14.4,Active,82.94,2W,,
L00073,C02778,B005,P009,21-07-2022,841855.53,48,9.36,Active,62.11,2W,,
L00074,C01580,B027,P009,26-09-2020,1208302.91,36,11.49,Active,92.17,Used,,
L00075,C00162,B029,P010,20-05-2022,1150474.27,18,10.92,Active,,Tractor,,
L00076,C00202,B034,P010,27-12-2022,569034.1,18,10.3,Closed,87.17,4W,04-05-2024,FALSE
L00077,C01982,B021,P004,19-11-2022,212523.56,12,14.72,Closed,89.71,2W,01-06-2023,FALSE
L00078,C00996,B013,P010,11-11-2020,1209916.72,12,9.54,Active,79.33,Used,,
L00079,C02318,B013,P003,06-01-2022,434306.68,36,12.56,Closed,71.66,Tractor,18-02-2022,FALSE
L00080,C00816,B009,P006,12-06-2020,126913.46,60,13.53,Active,90.64,4W,,
L00081,C00456,B021,P003,14-07-2022,695529.79,6,8.98,Active,90.32,2W,,
L00082,C01276,B028,P009,15-11-2020,1122232.27,12,14.8,Closed,65.26,2W,14-07-2021,TRUE
L00083,C01017,B010,P003,03-11-2022,1222315.34,48,11.6,Active,95.21,Tractor,,
L00084,C02344,B024,P002,05-10-2020,1474193.12,6,14.36,Closed,68.63,2W,16-01-2021,FALSE
L00085,C02768,B048,P008,07-03-2021,324641.14,6,12.48,Active,71.95,Tractor,,
L00086,C00338,B012,P006,29-10-2021,476002.53,60,12.37,Active,68.42,4W,,
L00087,C00879,B043,P008,25-09-2021,933761.22,6,10.09,Closed,97.66,Tractor,21-01-2024,FALSE
L00088,C01077,B047,P007,10-07-2023,1226448.36,18,13.28,Active,71.68,4W,,
L00089,C00792,B043,P003,05-06-2021,389408.78,18,7.72,Active,97.88,Commercial,,
L00090,C02265,B019,P008,21-08-2022,644375.95,6,11.67,Active,84.88,2W,,
L00091,C00764,B015,P010,10-04-2023,642180.97,6,7.74,Active,66.89,Commercial,,
L00092,C02236,B003,P001,23-12-2020,1170758.26,18,9.8,Active,81.6,Tractor,,
L00093,C00380,B020,P001,02-11-2022,399351.7,36,8.22,Active,94.41,4W,,
L00094,C00493,B005,P010,25-12-2021,1454699.9,60,,Active,81.91,2W,,
L00095,C01181,B024,P008,03-11-2021,790172.53,60,12.21,Default,65.17,Used,22-01-2022,
L00096,C02063,B005,P009,19-08-2020,458996.91,48,12.51,Active,71.19,2W,,
L00097,C00065,B042,P010,15-04-2021,462211.89,60,13.88,Active,68.77,Used,,
L00098,C02569,B001,P006,29-03-2023,76534.98,24,13,Active,64.91,2W,,
L00099,C01368,B014,P005,30-09-2021,1054024.79,12,8.43,Active,72.76,4W,,
L00100,C01153,B035,P002,13-07-2021,1175125.04,6,12.13,Active,85.78,Tractor,,
L00101,C02028,B020,P009,08-07-2023,97020.27,18,14.84,Active,74.92,4W,,
L00102,C02696,B003,P006,26-07-2021,899605.08,60,9.11,Active,77.31,2W,,
L00103,C01496,B047,P008,24-08-2021,1183425.37,6,12.15,Active,72.51,Used,,
L00104,C01163,B004,P009,14-10-2023,595548.07,6,11.73,Active,98.78,4W,,
L00105,C01523,B005,P009,11-09-2020,677475.3,6,10.44,Closed,82.86,4W,05-11-2020,FALSE
L00106,C02641,B023,P008,24-08-2021,574356.1,60,14.66,Active,92.52,Used,,
L00107,C00392,B002,P010,06-10-2020,507693.54,6,10.17,Active,77.21,Commercial,,
L00108,C01699,B023,P008,26-04-2020,762155.5,36,8.2,Active,66.58,2W,,
L00109,C00419,B049,P003,01-09-2021,290845.96,12,14.72,Closed,93.03,4W,03-01-2023,FALSE
L00110,C02337,B043,P003,31-03-2023,688997.14,12,12.97,Active,89.77,4W,,
L00111,C00379,B023,P002,01-05-2022,1415646.43,18,10.07,Closed,72.86,2W,16-05-2023,FALSE
L00112,C01797,B016,P001,24-10-2020,89733.04,36,9.6,Closed,83.65,Used,16-02-2021,FALSE
L00113,C02279,B019,P004,04-07-2022,288877.95,36,14.46,Closed,63.65,2W,03-01-2023,FALSE
L00114,C02089,B017,P002,13-08-2023,1177668.47,12,9.55,Active,61.03,Tractor,,
L00115,C02183,B010,P002,13-10-2023,241482.78,18,11.53,Active,91.81,Tractor,,
L00116,C00201,B029,P005,01-06-2021,443357.3,36,9.11,Closed,96.74,4W,26-08-2023,FALSE
L00117,C01864,B029,P004,12-01-2021,709516.44,18,14.96,Active,73.42,Tractor,,
L00118,C00780,B013,P001,01-03-2021,1417585.27,12,13.27,Active,83.31,2W,,
L00119,C02978,B025,P009,20-06-2021,316076.72,6,11.76,Active,87.97,4W,,
L00120,C00503,B045,P004,06-07-2021,1388472.66,48,13.09,Closed,89.1,Tractor,13-05-2023,FALSE
L00121,C02455,B048,P005,17-06-2020,1091860.54,48,14.37,Active,78.76,Used,,
L00122,C01752,B006,P007,29-05-2021,1023160.12,48,14.72,Closed,83.92,Tractor,05-09-2023,FALSE
L00123,C00805,B048,P002,19-10-2023,1099136.66,36,13.4,Closed,85.63,Used,15-12-2023,FALSE
L00124,C02147,B018,P008,05-03-2021,95307.6,18,13.87,Active,64.03,Tractor,,
L00125,C02732,B007,P002,22-07-2021,193405.38,6,10.48,Active,85.16,Used,,
L00126,C01896,B023,P010,23-03-2020,535520.22,12,10.44,Active,79.92,2W,,
L00127,C02774,B038,P005,25-11-2020,157252.92,60,13.56,Active,74.76,2W,,
L00128,C01571,B037,P002,21-11-2021,1482005.08,24,13.2,Active,70.21,Commercial,,
L00129,C00961,B010,P002,02-03-2023,891597.7,48,14.26,Active,84.88,2W,,
L00130,C02661,B035,P004,01-04-2021,756648.32,36,8.5,Closed,66.5,Tractor,30-07-2023,FALSE
L00131,C01486,B025,P004,18-12-2020,1188992.09,60,12.68,Active,91.62,4W,,
L00132,C02691,B011,P008,09-12-2020,1466590.85,36,12.36,Active,66.7,Used,,
L00133,C01029,B005,P006,22-01-2023,1434938.5,18,13.49,Active,90.09,2W,,
L00134,C00503,B045,P010,06-11-2023,1199944.08,12,7.68,Closed,91.88,4W,16-01-2024,FALSE
L00135,C02815,B004,P008,31-01-2022,596902.64,48,13.7,Active,96.65,Used,,
L00136,C00398,B008,P007,11-08-2023,145641.26,12,9.95,Active,78.07,Used,,
L00137,C00871,B036,P010,16-07-2020,192646.62,36,12.65,Active,,Used,,
L00138,C02843,B050,P004,19-03-2020,51670.89,36,12.12,Active,86.43,2W,,
L00139,C00393,B020,P002,08-11-2021,52759.12,48,10.8,Active,71.02,Used,,
L00140,C00207,B005,P009,04-07-2021,1407811.61,48,13.1,Active,63.62,Commercial,,
L00141,C01039,B004,P002,30-03-2022,1394174.61,18,14.71,Active,93.37,2W,,
L00142,C01882,B015,P001,01-08-2020,1017953.01,18,9.93,Closed,65.45,4W,08-06-2023,FALSE
L00143,C02940,B009,P008,30-10-2021,1103681.25,24,13.11,Closed,79.75,Commercial,11-01-2022,FALSE
L00144,C01485,B040,P010,15-09-2022,794152.26,6,9.86,Active,90.75,Commercial,,
L00145,C00864,B035,P009,12-06-2022,394871.27,18,13.84,Active,67.76,2W,,
L00146,C02791,B026,P001,07-06-2020,1375858.32,6,10.78,Closed,94.97,Used,16-07-2021,FALSE
L00147,C00564,B014,P007,08-01-2022,452652.63,36,10.87,Active,72.93,Commercial,,
L00148,C01021,B006,P002,10-07-2021,1122523.33,24,13.29,Closed,75.46,Tractor,28-06-2022,FALSE
L00149,C00096,B029,P006,19-07-2020,405881.74,24,11.22,Active,65.13,4W,,
L00150,C01924,B021,P005,22-01-2020,1311715.21,60,9.5,Active,85.13,Tractor,,
L00151,C01758,B008,P001,24-09-2023,994297.18,60,14.97,Active,79.32,2W,,
L00152,C02533,B020,P002,19-06-2023,981907.78,60,12.15,Active,97.99,Commercial,,
L00153,C02279,B019,P002,15-06-2023,191182.49,24,12.34,Closed,87.23,Used,06-02-2024,FALSE
L00154,C02797,B024,P010,18-03-2023,658229.91,12,12.35,Active,89.6,Used,,
L00155,C01679,B004,P010,23-02-2022,811117.34,48,14.13,Active,67.76,Commercial,,
L00156,C00541,B008,P006,07-01-2020,476352.62,60,8.88,Active,87.8,Commercial,,
L00157,C01060,B008,P001,10-06-2023,1327413.19,48,7.94,Active,81.74,Used,,
L00158,C02573,B024,P004,14-03-2022,1264621.42,36,10.4,Active,75.75,4W,,
L00159,C01184,B032,P010,06-02-2022,765750.32,12,11.74,Closed,90.52,2W,28-04-2022,FALSE
L00160,C01723,B036,P005,01-08-2021,543045.24,12,9.64,Closed,98.16,4W,23-03-2022,FALSE
L00161,C01820,B040,P002,05-01-2023,1212236.29,24,12.67,Closed,63.7,Used,15-05-2024,FALSE
L00162,C02626,B023,P002,03-05-2021,335492.6,12,8.05,Active,90.77,2W,,
L00163,C02730,B050,P007,14-07-2022,153698.66,36,13.43,Active,95.86,2W,,
L00164,C02605,B020,P007,27-03-2020,116280.2,36,12.89,Active,72.29,Used,,
L00165,C01598,B030,P006,09-08-2020,106090.73,60,9.1,Active,74.16,Used,,
L00166,C02694,B042,P001,16-02-2021,758888.55,12,9.74,Closed,91,Commercial,28-04-2023,FALSE
L00167,C00796,B004,P003,06-08-2021,420204.77,48,13.55,Closed,97.19,Commercial,05-11-2023,FALSE
L00168,C01052,B049,P009,20-07-2020,1051043.93,36,13.3,Active,96.62,Commercial,,
L00169,C01644,B033,P010,24-07-2021,998142.78,48,13.6,Closed,62.17,Used,06-05-2022,FALSE
L00170,C01364,B043,P001,23-07-2023,835929.01,6,9.92,Active,93.99,4W,,
L00171,C01982,B021,P002,08-08-2020,561622.76,12,14.77,Active,82.87,2W,,
L00172,C01355,B034,P008,05-06-2020,1283161.56,24,12.87,Active,76.42,4W,,
L00173,C01664,B042,P007,19-04-2023,1079068.99,60,7.99,Active,92.98,Tractor,,
L00174,C01530,B032,P009,08-05-2020,443712.88,24,11.08,Closed,91.22,4W,27-01-2024,TRUE
L00175,C02039,B033,P010,20-06-2023,777448.56,36,12.48,Active,,Tractor,,
L00176,C01497,B047,P004,10-04-2023,276593.25,36,8.76,Closed,76.02,Tractor,16-07-2023,FALSE
L00177,C02238,B017,P004,26-05-2022,526725.62,24,14.26,Active,78.43,2W,,
L00178,C01409,B016,P007,26-09-2020,1495853.27,6,13.16,Default,72.42,2W,12-01-2022,
L00179,C01401,B016,P001,15-12-2023,374574.12,24,8.11,Closed,86.54,Tractor,26-06-2024,FALSE
L00180,C01307,B030,P010,11-06-2020,1062538.42,12,14.35,Closed,94.79,Used,05-04-2024,FALSE
L00181,C02681,B041,P009,12-08-2022,395707.04,24,10.53,Active,69.77,Tractor,,
L00182,C02676,B039,P002,24-01-2020,1410295.08,18,10.89,Active,92.19,Commercial,,
L00183,C00973,B040,P001,11-05-2021,499692.63,6,13.37,Active,74.07,2W,,
L00184,C01769,B014,P007,11-07-2020,552699.16,60,12.33,Active,65.14,4W,,
L00185,C01283,B018,P006,27-05-2022,911096.67,6,10.78,Active,61.58,2W,,
L00186,C00710,B007,P003,24-01-2021,902762.07,24,9.45,Active,78.7,Used,,
L00187,C01480,B022,P001,11-05-2021,889660.77,18,11.38,Active,82.16,Commercial,,
L00188,C01435,B012,P005,21-08-2022,881219.27,12,11.84,Active,60.24,Used,,
L00189,C00649,B014,P010,16-03-2022,502671,24,12.23,Active,,4W,,
L00190,C00318,B001,P004,08-05-2020,679894.82,12,12.04,Active,80.22,2W,,
L00191,C01258,B030,P005,17-10-2022,910478.49,18,12.13,Closed,98.9,4W,26-08-2023,FALSE
L00192,C00684,B031,P001,06-07-2021,1023341.68,60,11.07,Active,64.08,Commercial,,
L00193,C00664,B043,P001,25-11-2022,417037.07,24,11.71,Active,87.5,4W,,
L00194,C01999,B003,P005,26-12-2020,1067138.84,24,9.66,Active,68.46,Tractor,,
L00195,C01632,B005,P006,03-02-2022,1388750.56,12,8.69,Active,68.05,Commercial,,
L00196,C01496,B047,P005,23-05-2023,1148995.17,24,12.05,Active,60.73,Used,,
L00197,C01137,B003,P002,13-10-2020,172137.56,18,7.85,Active,60.26,Used,,
L00198,C01854,B038,P009,06-02-2022,730233.02,24,7.99,Closed,67.28,4W,21-05-2023,FALSE
L00199,C01521,B016,P005,13-07-2022,681132.56,60,9.35,Closed,66.84,Commercial,15-04-2024,FALSE
L00200,C02490,B026,P005,03-01-2021,537929.8,60,8.96,Active,60.02,4W,,
L00201,C00564,B014,P010,17-06-2022,762414.2,36,,Closed,87.97,Tractor,15-05-2023,FALSE
L00202,C01292,B034,P009,24-04-2023,687468.97,18,10.28,Default,79.64,Commercial,02-10-2023,
L00203,C01637,B050,P003,20-12-2022,58947.19,6,8.38,Active,75.45,2W,,
L00204,C03000,B016,P005,18-09-2020,393005.15,12,9.35,Closed,,Used,21-08-2023,FALSE
L00205,C00699,B023,P005,26-02-2022,359984.11,48,7.53,Default,73.02,4W,04-11-2023,
L00206,C02161,B017,P002,20-04-2020,556426.33,48,10.13,Closed,78.35,Tractor,10-04-2024,FALSE
L00207,C00002,B035,P004,30-07-2022,302962.28,18,13.47,Active,98.92,Used,,
L00208,C00642,B015,P002,20-05-2020,148312.09,48,9.5,Active,79.91,Commercial,,
L00209,C02268,B039,P005,14-01-2022,335088.64,6,12.33,Active,60.76,Used,,
L00210,C01590,B045,P010,18-06-2021,1288570.84,6,8.24,Default,68.1,Used,25-08-2022,
L00211,C00855,B038,P002,19-03-2020,1205707.04,18,7.59,Active,73.83,2W,,
L00212,C01760,B018,P010,20-11-2022,691039.49,6,11.24,Closed,77.78,2W,31-01-2023,FALSE
L00213,C02433,B001,P009,23-05-2021,1322831.8,6,,Active,86.3,Tractor,,
L00214,C01662,B023,P010,28-08-2022,387365.15,48,8.94,Active,83.03,Tractor,,
L00215,C01154,B012,P006,06-03-2020,897103.25,36,9.65,Closed,79.86,4W,16-10-2021,FALSE
L00216,C01077,B047,P008,26-10-2023,257241.07,24,7.73,Closed,92.68,2W,08-04-2024,FALSE
L00217,C01708,B028,P009,13-10-2020,1258431,48,13.48,Active,67.65,Commercial,,
L00218,C02778,B005,P008,14-04-2023,239343.26,48,9.76,Default,63.04,4W,12-07-2023,
L00219,C01696,B012,P005,02-05-2020,96197.23,36,9.15,Closed,92.69,Commercial,26-09-2023,FALSE
L00220,C01734,B019,P005,08-06-2023,446494.13,24,13.53,Closed,78.02,2W,11-07-2023,FALSE
L00221,C01440,B012,P006,08-07-2021,1356355.88,6,7.79,Active,81.58,Commercial,,
L00222,C02295,B007,P001,30-09-2022,237712.77,24,9.63,Default,92.66,Commercial,01-12-2023,
L00223,C00836,B043,P008,04-01-2020,529471.89,60,9.47,Closed,96.89,2W,10-04-2022,FALSE
L00224,C00203,B034,P002,15-02-2021,508801.74,60,9.47,Closed,81.53,2W,13-05-2024,FALSE
L00225,C00123,B008,P006,06-09-2020,1212387.1,36,7.59,Active,91.68,Used,,
L00226,C00401,B043,P009,30-09-2023,661211.83,12,14.51,Active,81.25,Commercial,,
L00227,C00767,B048,P003,18-09-2023,936772.22,12,13.98,Closed,61.3,4W,15-06-2024,FALSE
L00228,C00294,B040,P002,28-03-2021,636355.36,24,10.61,Active,97.28,Tractor,,
L00229,C02328,B004,P010,06-06-2020,849612.67,60,10.84,Closed,91.89,Used,18-06-2022,FALSE
L00230,C02932,B015,P005,16-04-2022,140539.05,12,11.43,Default,89.38,Tractor,29-06-2024,
L00231,C00198,B020,P009,10-10-2022,592342.69,18,11.09,Closed,,4W,05-06-2024,FALSE
L00232,C01931,B047,P006,17-07-2023,1289903.46,12,13.34,Active,96.76,4W,,
L00233,C02800,B036,P008,12-12-2023,1052047.97,24,11.16,Active,79.1,2W,,
L00234,C02192,B036,P008,18-11-2022,1473652.11,6,8.92,Active,88.11,Commercial,,
L00235,C00609,B017,P007,04-09-2022,1192483.33,36,8.38,Active,63.92,2W,,
L00236,C01148,B008,P005,30-11-2020,704689.09,12,14.39,Active,68.54,Commercial,,
L00237,C00187,B002,P002,15-06-2023,1030606.66,24,7.86,Active,76.54,Used,,
L00238,C02512,B006,P010,01-06-2020,1175074.83,60,14.23,Active,82.67,2W,,
L00239,C01795,B005,P010,18-01-2022,441041.31,36,12.68,Closed,91.42,2W,20-05-2024,FALSE
L00240,C00660,B010,P005,13-04-2022,137025.94,18,10.54,Active,69.39,4W,,
L00241,C02812,B014,P007,12-02-2023,638478.54,6,8.9,Active,90.2,Commercial,,
L00242,C01956,B018,P007,18-03-2022,259776.09,48,9.83,Active,94.71,4W,,
L00243,C02451,B028,P002,27-01-2022,451999.62,36,11.47,Active,91.92,2W,,
L00244,C01370,B041,P007,23-11-2023,1422925.97,48,12.43,Active,84.27,Commercial,,
L00245,C01987,B045,P006,21-11-2022,1278269.76,60,12.69,Active,91.59,Commercial,,
L00246,C01535,B011,P007,15-06-2021,909072.56,36,10.85,Active,94.22,Used,,
L00247,C00147,B029,P008,22-02-2020,631822.22,24,10.3,Active,81.65,4W,,
L00248,C02912,B029,P004,18-12-2021,433279.02,18,13.26,Closed,,Used,22-09-2023,FALSE
L00249,C01735,B028,P001,03-05-2023,878614.51,60,14.44,Active,76.42,4W,,
L00250,C01844,B035,P008,21-08-2023,823082.36,12,14.36,Default,80.38,4W,12-04-2024,
L00251,C00489,B049,P008,10-12-2020,1182132.17,18,11.64,Closed,62.05,Commercial,12-10-2022,FALSE
L00252,C02977,B006,P003,10-01-2023,1395629.27,6,8.09,Closed,94.46,Commercial,05-04-2024,FALSE
L00253,C01960,B036,P003,01-01-2020,526959.09,48,8.05,Active,65.47,Tractor,,
L00254,C01664,B042,P005,15-06-2020,349130.81,12,10.52,Active,,2W,,
L00255,C02599,B012,P003,12-11-2020,634059.44,48,13,Closed,72.38,Used,02-09-2023,FALSE
L00256,C02386,B027,P005,21-04-2023,684434.89,18,11.23,Active,64.52,Tractor,,
L00257,C02920,B019,P008,22-08-2022,107811.92,6,12.21,Active,95.95,Used,,
L00258,C00641,B030,P001,16-06-2022,1299459.97,36,13.82,Active,97.83,Used,,
L00259,C01803,B037,P002,29-09-2020,1493608.89,36,7.8,Active,,2W,,
L00260,C02521,B041,P002,07-01-2021,1388652.6,48,14.43,Active,,Used,,
L00261,C01970,B040,P004,17-10-2023,1297964.22,48,9.98,Default,62.15,Used,02-06-2024,
L00262,C02199,B032,P009,18-06-2022,1489270.44,36,7.85,Active,67.13,Commercial,,
L00263,C01439,B023,P002,19-07-2020,1366322.23,60,13.77,Active,90.11,Commercial,,
L00264,C01635,B049,P009,30-04-2023,1048133.05,48,14.51,Active,71.15,Commercial,,
L00265,C00263,B030,P007,26-09-2023,291797.14,36,13.26,Active,94.81,2W,,
L00266,C01788,B017,P010,15-08-2023,276707.68,60,13.53,Active,92.57,Commercial,,
L00267,C02192,B036,P008,19-05-2020,120730.63,48,14.03,Active,69.24,Tractor,,
L00268,C02394,B020,P001,01-11-2020,647154.76,12,11.42,Active,87.04,Tractor,,
L00269,C00624,B023,P005,04-05-2023,1222794.91,48,12.6,Active,77.25,Tractor,,
L00270,C01017,B010,P009,20-12-2022,760929.12,36,9.65,Active,68.38,2W,,
L00271,C00881,B015,P004,25-12-2020,581166.47,12,9.37,Active,83.01,4W,,
L00272,C02050,B022,P002,02-11-2020,208392,12,12.07,Active,92.66,4W,,
L00273,C02945,B042,P006,28-11-2020,125042.3,18,13.01,Closed,96.14,Tractor,05-08-2022,FALSE
L00274,C01328,B033,P002,11-01-2023,628809.76,36,10.48,Active,62.29,4W,,
L00275,C02302,B005,P003,29-11-2020,194891.8,60,10.5,Active,76.33,Used,,
L00276,C00453,B019,P008,31-05-2021,200144.85,24,14.66,Closed,83.57,2W,26-03-2024,FALSE
L00277,C01184,B032,P003,31-12-2021,623255.22,48,11.39,Active,73.18,Tractor,,
L00278,C02057,B037,P002,12-07-2022,779123.01,36,14.9,Active,72.39,Tractor,,
L00279,C01683,B047,P006,04-02-2022,320690.19,24,13.97,Closed,90.11,Tractor,21-09-2022,TRUE
L00280,C02864,B047,P003,18-11-2023,1042721.75,36,12.3,Active,90.52,Used,,
L00281,C02256,B050,P001,23-02-2022,657103.4,12,7.57,Closed,88.43,Commercial,14-05-2024,FALSE
L00282,C01155,B008,P003,04-11-2023,183287.68,36,9.72,Active,95.04,Tractor,,
L00283,C00404,B020,P006,21-01-2020,973699.48,36,10.63,Closed,79.29,4W,26-06-2023,FALSE
L00284,C02200,B015,P003,28-05-2022,567569.99,60,12.4,Active,,Commercial,,
L00285,C02102,B021,P009,25-06-2020,125866.14,36,10.47,Closed,60.44,Used,17-05-2023,FALSE
L00286,C01697,B019,P007,18-10-2023,1424573.29,36,13.71,Closed,98.51,Tractor,04-01-2024,FALSE
L00287,C00628,B011,P005,22-01-2020,878235.59,18,12.47,Active,95.85,Commercial,,
L00288,C00587,B036,P002,16-04-2022,742694.54,48,10.1,Active,92.81,Tractor,,
